MACHINE MODEL,CONSUMABLE,ITEM CODE
,,IMAGING UNIT MAGENTA
,,IMAGING UNIT CYAN
,WASTE TONER BOX,WASTE TONER BOX
,FUSER BELT,TRANSFER BELT UNIT
,,FUSER BELT
BH-C308 / BH-C368,TONER,TONER BLACK C368/C308 (TN324K)
,,TONER YELLOW C368/C308 (TN324Y)
,,TONER MAGENTA C368/C308 (TN324M)
,,TONER CYAN C368/C308 (TN324C)
,DEV UNIT,DEV UNIT BLACK C368/C308 (DV313K)
,,DEV UNIT YELLOWC368/C308 (DV313Y)
,,DEV UNIT MAGENTA C368/C308 (DV313M)
,,DEV UNIT CYAN C368/C308 (DV313C)
,DRUM UNIT,DRUM UNIT BLACK C368/C308 (DR313K)
,,DRUM UNIT CMY C368/C308 (DR313)
,,DRUM UNIT CMY C368/C308 (DR313)
,,DRUM UNIT CMY C368/C308 (DR313)
,WASTE TONER BOX,WASTE TONER BOX
,TRANSFER BELT UNIT,TRANSFER BELT UNIT
,TRANSFER ROLLER UNIT,TRANSFER ROLLER UNIT
,FUSING UNIT 230V,FUSING UNIT 230V
BH-C3350 / BH-C3850,TONER,TONER BLACK C3350/C3850 (TNP48K)
,,TONER YELLOW C3350/C3850 (TNP48Y)
,,TONER MAGENTA C3350/C3850 (TNP48M)
,,TONER CYAN C3350/C3850 (TNP48C)
,IMAGING UNIT,IMAGING UNIT BLACK (IUP22K)
,,IMAGING UNIT YELLOW (IUP22Y)
,,IMAGING UNIT MAGENTA (IUP22M)
,,IMAGING UNIT CYAN (IUP22C)
BH-C221 / BH-C281,TONER,TONER BLACK C221/C281 (TN220K)
,,TONER YELLOW C221/C281 (TN220Y)
,,TONER MAGENTA C221/C281 (TN220M)
,,TONER CYAN C221/C281 (TN220C)
,DEVELOPING UNIT,DEVELOPING UNIT BLACK (DV512K)
,,DEVELOPING UNIT YELLOW (DV512Y)
,,DEVELOPING UNIT MAGENTA (DV512M)
,,DEVELOPING UNIT CYAN (DV512C)
,DRUM  CARTRIDGE,DRUM CARTRIDGE BLACK (DR512K)
,,DRUM CARTRIDGE MAGENTA (DR512)
,,DRUM CARTRIDGE YELLOW (DR512)
,,DRUM CARTRIDGE CYAN (DR512)
,WASTE TONER BOX,WASTE TONER BOX
,TRANSFER BELT UNIT,TRANSFER BELT UNIT
,TRANSFER ROLLER UNIT,TRANSFER ROLLER UNIT
BH-C458 / BH-C558 / BH-C658,TONER,TONER BLACK C458 (TN514K)
,,TONER YELLOW C458 (TN514Y)
,,TONER MAGENTA C458 (TN514M)
,,TONER CYAN C458 (TN514C)
,DEV,DEV BLACK C458 (DV619K)
,,DEV YELLOW C458 (DV619Y)
,,DEV MAGENTA C458 (DV619M)
,,DEV CYAN C458 (DV619C)
,DRUM UNIT,DRUM UNIT BLACK C368/C308/C458 (DR313K)
,,DRUM UNIT CMY C368/C308/C458 (DR313)
,TONER FILTER ,TONER FILTER 
,WASTE TONER BOX,WASTE TONER BOX
,2ND IMAGE TRANSFER ROLLER ASSY,2ND IMAGE TRANSFER ROLLER ASSY
,INTERMEDIATE IMAGE TRANSFER BELT,INTERMEDIATE IMAGE TRANSFER BELT
,FUSING UNIT,FUSING UNIT FOR BH-C458
,,FUSING UNIT FOR BH-C558/BH-C658
BH-C3110,TONER,TONER BLACK C3110
,,TONER YELLOW C3110  
,,TONER MAGENTA C3110 
,,TONER CYAN C3110  
,IMAGING UNIT,IMAGING UNIT BLACK  C3110/C3100P
,,IMAGING UNIT YELLOW C3110/C3100P
,,IMAGING UNIT MAGENTA  C3110/C3100P
,,IMAGING UNIT CYAN  C3110/C3100P
,WASTE TONER BOX,WASTE TONER BOX
,TRANSFER BELT UNIT,TRANSFER BELT UNIT
,FUSER BELT,FUSER BELT
BHC227 / BHC287,TONER,TONER BLACK C287/C227 (TN221K)
,,TONER YELLOW C287/C227 (TN221Y)
,,TONER MAGENTA C287/C227 (TN221M)
,,TONER CYAN C287/C227 (TN221C)
,DEV UNIT,DEV UNIT DV214
,IMAGING UNIT,IMAGING UNIT IU214C
,,IMAGING UNIT IU214M
,,IMAGING UNIT IU214Y
,DRUM UNIT DR214K,DRUM UNIT DR214K
,WASTE TONER BOX,WASTE TONER BOX
,TRANSFER BELT UNIT,TRANSFER BELT UNIT
,TRANSFER ROLLER UNIT,TRANSFER ROLLER UNIT
,FUSING UNIT,FUSING UNIT
BH-C227i,TONER,TONER BLACK TN227K
,,TONER YELLOW TN227Y
,,TONER MAGENTA TN227M
,,TONER CYAN TN227C
,DEV UNIT DV216,DEV UNIT DV216
,IMAGING UNIT,IMAGING UNIT IU217C
,,IMAGING UNIT IU217M
,,IMAGING UNIT IU217Y
,DRUM UNIT DR217K,DRUM UNIT DR217K
,WASTE TONER BOX,WASTE TONER BOX
,TRANSFER BELT UNIT,TRANSFER BELT UNIT
,TRANSFER ROLLER UNIT,TRANSFER ROLLER UNIT
,FUSING UNIT,FUSING UNIT
BH-C300i / BH-C360i / BH-C250i,TONER,TONER BLACK TN328K
,,TONER YELLOW TN328Y
,,TONER MAGENTA TN328M
,,TONER CYAN TN328C
,DEV UNIT,DEV UNIT BLACK DV315K
,,DEV YELLOW DV315Y
,,DEV MAGENTA DV315M
,,DEV CYAN DV315C
,DRUM UNIT,DRUM UNIT K DR316K
,,DRUM UNIT CMY DR316CMY
,,DRUM UNIT CMY DR316CMY
,,DRUM UNIT CMY DR316CMY
,WASTE TONER,WASTE TONER
,INTERMEDIATE IMAGE TRANSFER UNIT/TRANSFER BELT,INTERMEDIATE IMAGE TRANSFER UNIT/TRANSFER BELT
,2ND IMAGE TRANSFER ROLLER ASSY,2ND IMAGE TRANSFER ROLLER ASSY
,FUSING UNIT,FUSING UNIT
C1060 / C1070 / C2060 / C3070,TONER,TONER BLACK
,,TONER YELLOW
,,TONER MAGENTA
,,TONER CYAN
,DRUM UNIT BHC1070/C1060 DU105 (CMYK),DRUM UNIT BHC1070/C1060 DU105 (CMYK)
,DEV UNIT,DEV BLACK BHC1060 (DV614K) /C71
,,DEV YELLOW BHC1060 (DV614Y) / C71
,,DEV MAGENTA BHC1060 (DV614M)
,,DEV CYAN BHC1060 (DV614C)
,CHARGING CORONA UNIT,CHARGING CORONA UNIT
,intermediate transfer belt,intermediate transfer belt
,2nd transfer roller / upper,2nd transfer roller / upper
,BELT CLEANING BLADE,BELT CLEANING BLADE
,1st transfer rollers,1st transfer rollers CMYK
,FUSING BELT,FUSING BELT
,Deve. Dust-proof Filter,Deve. Dust-proof Filter/1 
,,Deve. Dust-proof Filter/2
,suction dust-proof filter,suction dust-proof filter
,Filter Box,Filter Box
,Waste toner box ,Waste toner box 
,Heat insulating sleeve lower,Heat insulating sleeve lower
,Paper feed roller rubber,Paper feed roller rubber
,2nd transfer rolers / low,2nd transfer rolers / low
,separation dischrage assy,separation dischrage assy
,FUSING GEAR,fusing gear /1
,,fusing gear /3
,Toner,Toner Collection Sheet
,Side Seal,Side Seal
BHC650i/ BHC550i / BHC450i / BHC551i,TONER,TONER BLACK (TN626K)
,,TONER YELLOW (TN626Y)
,,TONER MAGENTA (TN626M)
,,TONER CYAN (TN626C)
,DEV UNIT,DEV UNIT BLACK  (DV621K)
,,DEV UNIT YELLOW  (DV621Y)
,,DEV UNIT MAGENTA (DV621M)
,,DEV UNIT CYAN  (DV621C)
,DRUM UNIT,DRUM UNIT  DR618K
,,DRUM UNIT  DR618CMY
,Toner Filter Assy,Toner Filter Assy
,Waste toner box ,Waste toner box 
,2nd Image Transfer Roller Assy,2nd Image Transfer Roller Assy
,Intermediate Image Transfer Unit,Intermediate Image Transfer Unit
,FUSING UNIT ,FUSING UNIT ASSY (230V) for BHC450i
,,FUSING UNIT ASSY (230V) for BHC550i and C650i
BHC750i,TONER,TONER BLACK (TN715K)
,,TONER YELLOW (TN715Y)
,,TONER MAGENTA (TN715M)
,,TONER CYAN (TN715C)
,DEV UNIT,DEV UNIT BLACK  (DV621K)
,,DEV UNIT YELLOW  (DV621Y)
,,DEV UNIT MAGENTA (DV621M)
,,DEV UNIT CYAN  (DV621C)
,DRUM UNIT,DRUM UNIT  DR618K
,,DRUM UNIT  DR618CMY
,TONER FILTER,TONER FILTER / K
,,TONER FILTER (CMY) 
,WASTE TONER BOX,WASTE TONER BOX
,TRANSFER ROLLER UNIT,TRANSFER ROLLER UNIT
,TRANSFER BELT UNIT,TRANSFER BELT UNIT
,FUSING UNIT,FUSING UNIT
BHC4050i / BHC3350i,TONER,TONER BLACK (TNP79K)
,,TONER YELLOW (TNP79Y)
,,TONER MAGENTA (TNP79M)
,,TONER CYAN (TNP79C)
,IMAGING UNIT,IMAGING UNIT BLACK (IUP35K)
,,IMAGING UNIT CYAN (IUP35C)
,,IMAGING UNIT MAGENTA (IUP35M)
,,IMAGING UNIT YELLOW (IUP35Y)
